 DATE       TIME          LONG   LAT   DEPTH STK DP  RKE Mom      Mw   CMTNAME
 2019/01/05  19:25:38.5  -71.68  -8.10  588.1 349 36  -77 1.8e+26  6.76 201901051925A  
 2019/01/06  17:27:19.0  126.63   2.48   34.9  18 34   79 1.1e+26  6.62 201901061727A  
 2019/01/15  18:06:34.3  166.50 -13.41   39.0 178 39   99 7.9e+25  6.53 201901151806A  
 2019/01/20  01:32:52.5  -71.39 -30.18   60.7 187 39 -106 1.1e+26  6.63 201901200132A  
 2019/01/22  19:01:43.6   42.17 -43.01   18.5  75 41  -92 1.2e+26  6.64 201901221901A  
 2019/02/01  16:14:12.2  -92.46  14.86   45.7 202  8  -17 1.2e+26  6.65 201902011614A  
 2019/02/22  10:17:23.8  -77.09  -2.26  121.1 163 26  -55 2.1e+27  7.48 201902221017A  
 2019/03/01  08:50:42.6  -70.14 -14.78  273.6 144 20  -47 4.3e+26  7.02 201903010850A  
 2019/04/09  17:53:58.4  -24.60 -58.71   42.6 293 40  135 7.8e+25  6.52 201904091754A  
 2019/04/12  11:40:49.3  122.56  -1.85   12.0  43 83 -175 1.8e+26  6.76 201904121140A  
 2019/05/06  21:19:38.0  146.49  -7.06  128.0 265 22 -112 6.3e+26  7.13 201905062119A  
 2019/05/14  12:58:25.9  152.52  -4.03   22.1  47 86  179 2.8e+27  7.56 201905141258A  
 2019/05/26  07:41:15.1  -75.36  -5.25  126.6 166 33  -94 1.2e+28  7.99 201905260741A  
 2019/05/30  09:03:31.1  -89.55  13.07   45.7  77 30 -139 9.8e+25  6.59 201905300903A  
 2019/06/15  22:55:04.1 -177.79 -30.93   47.6 201 31   97 1.1e+27  7.29 201906152254A  
 2019/06/24  02:53:39.8  129.17  -6.51  219.6 160 74 -172 9.7e+26  7.26 201906240253A  
 2019/07/06  03:19:53.0 -117.58  35.78   12.0 321 81  180 4.4e+26  7.02 201907060319A  
 2019/07/07  15:08:40.5  126.10   0.55   30.5 342 51   35 2.9e+26  6.91 201907071508A  
 2019/07/14  05:39:23.4  120.29 -18.15   22.2 116 86    3 1.3e+26  6.67 201907140539A  
 2019/07/14  09:10:51.6  128.13  -0.72   12.0 124 84    0 7.6e+26  7.18 201907140910A  
 2019/07/31  15:02:33.8  167.85 -16.28  187.8 191 63  154 1.1e+26  6.61 201907311502A  
 2019/08/01  18:28:07.3  -72.24 -34.32   25.0  19 14  106 1.9e+26  6.78 201908011828A  
 2019/08/02  12:03:27.0  104.85  -7.40   51.9 200 45   55 2.7e+26  6.88 201908021203A  
 2019/08/27  23:55:19.2  -25.82 -60.54   28.6 337 62  166 8.9e+25  6.56 201908272355A  
 2019/09/01  15:54:20.4 -178.51 -20.40  613.8 233 16  -78 1.3e+26  6.67 201909011554A  
 2019/09/29  15:57:53.2  -73.10 -35.56   16.7  16 12  106 1.5e+26  6.72 201909291557A  
 2019/10/29  01:04:43.9  125.05   6.87   18.0 323 81    5 1.0e+26  6.60 201910290104A  
 2019/11/04  22:43:32.3 -175.35 -18.38   12.2 287 88 -180 1.1e+26  6.64 201911042243A  
 2019/11/08  10:44:44.3 -179.42 -21.94  599.2 114 17 -172 8.4e+25  6.55 201911081044A  
 2019/11/14  16:17:40.6  126.32   1.66   29.6  15 39   67 5.4e+26  7.09 201911141617A  
 2019/12/15  06:11:51.2  125.14   6.72   12.0 320 74   13 1.6e+26  6.73 201912150611A  
 2020/01/24  17:55:14.1   39.02  38.29   12.0 245 67  -10 1.8e+26  6.76 202001241755A  
 2020/01/28  19:10:24.9  -79.55  19.33   23.9 347 85 -177 4.3e+27  7.69 202001281910A  
 2020/02/13  10:33:44.5  148.94  45.42  150.9 100 15  -50 3.6e+26  6.97 202002131033B  
 2020/03/25  02:49:21.2  157.87  49.11   52.6  32 43  103 2.1e+27  7.47 202003250249A  
 2020/04/18  08:25:37.0  140.08  27.12  455.0 125 53 -133 9.7e+25  6.59 202004180825A  
 2020/05/02  12:51:05.6   25.64  34.05   12.0 258 23   72 1.0e+26  6.60 202005021251A  
 2020/05/06  13:53:55.9  129.88  -6.82  113.0  93 51   41 2.3e+26  6.84 202005061353A  
 2020/05/12  22:41:12.2  166.42 -12.14  126.3 333 40   78 8.7e+25  6.56 202005122241A  
 2020/06/03  07:35:36.4  -68.44 -23.22  108.6 155 30  -88 1.9e+26  6.79 202006030735A  
 2020/06/04  08:49:40.4  128.15   2.98  121.3 126 55   12 7.2e+25  6.50 202006040849A  
 2020/06/13  15:51:24.1  128.38  28.79  170.9 124 38 -146 1.3e+26  6.67 202006131551A  
 2020/06/18  12:49:53.8 -177.55 -33.39   37.1 124 66 -160 1.6e+27  7.39 202006181249A  
 2020/06/23  15:29:04.3  -96.07  16.02   21.5 268 16   61 1.5e+27  7.37 202006231529A  
 2020/07/06  22:54:47.5  110.55  -5.69  535.0  92 37 -124 1.3e+26  6.67 202007062254A  
 2020/07/17  02:50:22.2  147.74  -7.84   71.6  52 30  -10 5.3e+26  7.08 202007170250A  
 2020/07/22  06:12:44.7 -159.28  54.83   36.3 243 17   92 7.4e+27  7.84 202007220612A  
 2020/08/18  00:03:48.6  123.98  12.04   12.0 323 87    1 1.1e+26  6.62 202008180003A  
 2020/08/18  22:23:59.5  100.99  -4.56   23.0 321 17  105 1.3e+26  6.68 202008182223A  
 2020/08/18  22:29:24.7  100.86  -4.47   25.0 328 11  112 3.5e+26  6.96 202008182229A  
 2020/08/21  04:09:51.9  123.52  -6.64  636.6  85 45  -73 2.8e+26  6.89 202008210409A  
 2020/08/30  21:20:29.8  -29.99   0.84   17.1 175 77  -13 7.5e+25  6.51 202008302120A  
 2020/09/01  04:09:28.5  -71.41 -28.01   34.4  15 24  112 2.5e+26  6.86 202009010409A  
 2020/09/06  06:51:19.1  -37.18   7.79   12.0 183 83   -1 1.0e+26  6.61 202009060651A  
 2020/09/18  21:43:59.0  -26.91   0.94   13.8 176 81    3 2.5e+26  6.86 202009182143A  
 2020/10/01  01:13:36.5 -173.79 -19.40   42.4 313 29   48 7.7e+25  6.52 202010010113A  
 2020/10/19  20:54:39.0 -159.70  54.48   37.4 350 49  176 2.9e+27  7.58 202010192054A  
 2020/10/30  11:51:27.4   26.63  37.78   12.0 276 34  -90 3.9e+26  6.99 202010301151A  
 2020/12/27  21:39:14.8  -75.26 -39.58   12.0   1 43 -109 1.4e+26  6.70 202012272139A  
 2021/01/11  21:32:59.0  100.39  51.32   13.9 355 43 -143 1.9e+26  6.78 202101112132A  
 2021/01/21  12:23:04.3  127.30   5.04  102.3 342 29   67 3.7e+26  6.98 202101211223A  
 2021/01/23  23:36:50.6  -55.34 -61.89   12.0  14 49 -125 3.0e+26  6.91 202101232336A  
 2021/02/03  05:23:43.5  -98.63 -36.39   17.8  93 79  173 9.6e+25  6.58 202102030523A  
 2021/02/10  13:19:55.5  171.62 -22.98   21.0 277 22   98 4.1e+27  7.67 202102101319A  
 2021/02/13  14:07:50.2  141.64  37.60   50.0  28 38  103 5.6e+26  7.10 202102131407A  
 2021/03/04  13:27:34.8  179.86 -37.36   53.5 308 83  174 8.8e+26  7.23 202103041327A  
 2021/03/04  17:41:23.4 -177.01 -29.58   42.8 201 29   98 1.8e+27  7.43 202103041741A  
 2021/03/04  19:28:33.2 -176.73 -29.11   33.9 199 19   97 1.6e+28  8.07 202103041928A  
 2021/03/04  23:12:60.0 -176.22 -28.53   29.6 194 32   85 1.6e+26  6.73 202103042312A  
 2021/03/05  00:28:19.0 -176.04 -28.95   32.5 189 37   85 8.1e+25  6.54 202103050028A  
 2021/03/16  18:38:21.2  163.41  54.72   19.0 338 68  172 9.5e+25  6.58 202103161838A  
 2021/03/20  09:09:44.0  141.77  38.38   52.3 192 21   81 5.0e+26  7.06 202103200909A  
 2021/04/03  01:16:39.5   -7.58 -58.03   13.3 252 81    0 1.1e+26  6.62 202104030116A  
 2021/04/24  00:23:38.1 -176.12 -18.91  315.8  54 14   86 7.8e+25  6.53 202104240023A  
 2021/04/25  22:28:02.2 -176.87 -21.71  247.6 112 34  176 7.2e+25  6.50 202104252228A  
 2021/05/01  01:27:27.2  141.87  38.18   47.7 193 22   81 2.4e+26  6.85 202105010127A  
 2021/05/12  14:05:15.7   65.53 -17.59   20.2  56 81   -8 1.0e+26  6.60 202105121405A  
 2021/05/14  06:33:07.9   96.62   0.09   14.2 163 45  -53 1.5e+26  6.71 202105140633A  
 2021/05/19  00:42:19.7 -109.55 -33.40   14.1 104 77  179 1.3e+26  6.67 202105190042A  
